model,scenario,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bodirsky2015,SSP4_boundary,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,592.2905,,,,,591.382,,
Bodirsky2015,SSP5,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,597.307,,,,,601.4344,,
Bodirsky2015,SSP5_boundary,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,563.5851,,,,,563.1474,,,,,574.4367,,,,,587.3956,,,,,597.307,,,,,601.2783,,
Bodirsky2015,a1,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,562.6773,,,,,566.3618,,,,,576.9854,,,,,597.1583,,,,,607.3604,,,,,609.8804,,
Bodirsky2015,a2,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,562.6773,,,,,566.0933,,,,,575.7796,,,,,593.8231,,,,,602.2726,,,,,602.9301,,
Bodirsky2015,b1,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,562.6773,,,,,567.7578,,,,,579.2533,,,,,598.7919,,,,,607.7729,,,,,608.7874,,
Bodirsky2015,b2,Nutrition|Calorie Supply|+|Secondary products,kcal/capita/day,,,,,,405.8384,,,,,440.6543,,,,,458.5728,,,,,517.9276,,,,,545.8925,,,,,562.6773,,,,,567.1778,,,,,577.6377,,,,,595.355,,,,,601.8168,,,,,599.7462,,
FAO,historical,Nutrition|Calorie Supply|+|Secondary products,,,355.6083,363.8222,369.5329,381.9719,393.2976,398.2608,399.3709,404.0286,414.0978,424.9156,428.1638,427.12,434.9839,440.7804,436.9084,451.3958,459.0207,471.707,477.1488,485.5279,487.6082,498.277,496.7114,506.0394,507.4291,509.8968,514.138,518.4208,521.201,523.8616,515.873,512.8393,504.9613,511.314,522.3127,524.7427,535.9565,531.9707,530.0831,537.4086,544.3129,547.6925,550.2134,554.5817,561.6601,566.4578,573.7235,573.3523,575.5608,573.4081,580.2129,,,,,,
FAOmassbalance,historical,Nutrition|Calorie Supply|+|Secondary products,,,,,,,411.6046,,,,,447.0617,,,,,465.4146,,,,,526.0405,,,,,554.8688,,,,,573.2851,,,,,573.5102,,,,,585.2814,,,,,600.0926,,,,,608.0108,,,,,,,
LUH2v2,historical,Resources|Land Cover Change|+|Urban Area,million ha wrt 1995,,,,,,-16.2604,,,,,-13.8995,,,,,-11.676,,,,,-9.4525,,,,,-6.4986,,,,,-3.5447,,,,,0.0,,,,,3.5447,,,,,7.4489,,,,,11.74,,,,,,,
MAgPIEown,historical,Resources|Land Cover Change|+|Urban Area,million ha wrt 1995,,,,,,-16.2604,,,,,-13.8995,,,,,-11.676,,,,,-9.4525,,,,,-6.4986,,,,,-3.5447,,,,,0.0,,,,,3.5447,,,,,7.4489,,,,,11.74,,,,,,,
FAO_crop_past,historical,Resources|Land Cover|+|Cropland,million ha,,,,,,1389.6927,,,,,1425.1327,,,,,1429.801,,,,,1440.2475,,,,,1489.4167,,,,,1519.151,,,,,1522.8184,,,,,1518.8126,,,,,1539.4052,,,,,1534.3849,,,,,,,
LUH2v2,historical,Resources|Land Cover|+|Cropland,million ha,,,,,,1376.0732,,,,,1404.4318,,,,,1419.3558,,,,,1434.2798,,,,,1465.433,,,,,1496.5861,,,,,1492.7762,,,,,1488.9662,,,,,1505.6462,,,,,1510.1333,,,,,,,
MAgPIEown,historical,Resources|Land Cover|+|Cropland,million ha,,,,,,1376.0732,,,,,1404.4318,,,,,1419.3558,,,,,1434.2798,,,,,1465.433,,,,,1496.5861,,,,,1492.7762,,,,,1488.9662,,,,,1505.6462,,,,,1510.1333,,,,,,,
LUH2v2,historical,Resources|Land Cover|+|Forest,million ha,,,,,,3882.7952,,,,,3852.2642,,,,,3824.7048,,,,,3797.1454,,,,,3768.0924,,,,,3739.0393,,,,,3734.5367,,,,,3730.034,,,,,3735.883,,,,,3714.9734,,,,,,,
MAgPIEown,historical,Resources|Land Cover|+|Forest,million ha,,,,,,4085.6551,,,,,4085.2626,,,,,4085.0184,,,,,4083.0915,,,,,4082.213,,,,,4080.9663,,,,,4062.0334,,,,,4038.6784,,,,,4015.6069,,,,,3997.5618,,,,,,,
LUH2v2,historical,Resources|Land Cover|+|Other Land,million ha,,,,,,4519.4226,,,,,4497.7282,,,,,4465.8874,,,,,4434.0466,,,,,4363.0697,,,,,4292.0927,,,,,4271.1155,,,,,4250.1385,,,,,4245.9717,,,,,4248.1755,,,,,,,
MAgPIEown,historical,Resources|Land Cover|+|Other Land,million ha,,,,,,4316.5628,,,,,4264.7298,,,,,4205.5738,,,,,4148.1005,,,,,4048.949,,,,,3950.1658,,,,,3943.6189,,,,,3941.4941,,,,,3966.2478,,,,,3965.5871,,,,,,,
FAO_crop_past,historical,Resources|Land Cover|+|Pastures and Rangelands,million ha,,,,,,3102.4014,,,,,3131.2988,,,,,3185.5008,,,,,3200.8871,,,,,3239.5304,,,,,3305.2741,,,,,3394.7165,,,,,3417.6424,,,,,3388.2637,,,,,3358.2403,,,,,,,
LUH2v2,historical,Resources|Land Cover|+|Pastures and Rangelands,million ha,,,,,,3003.814,,,,,3025.32,,,,,3067.5726,,,,,3109.8254,,,,,3175.7483,,,,,3241.6712,,,,,3267.4162,,,,,3293.1613,,,,,3270.8948,,,,,3280.8225,,,,,,,
MAgPIEown,historical,Resources|Land Cover|+|Pastures and Rangelands,million ha,,,,,,3003.814,,,,,3025.32,,,,,3067.5727,,,,,3109.8254,,,,,3175.7483,,,,,3241.6712,,,,,3267.4162,,,,,3293.1613,,,,,3270.8948,,,,,3280.8225,,,,,,,
Bodirsky,historical,Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer,Mt Nr/yr,,,,,,18.3726,,,,,30.4281,,,,,40.8252,,,,,57.0942,,,,,65.2209,,,,,71.1461,,,,,72.3366,,,,,75.5781,,,,,85.354,,,,,95.7731,,,,,,,
Lassaletta2014,historical,Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer,Mt Nr/yr,,11.5787,13.0695,14.6254,16.2631,18.782,21.7453,23.6368,25.5539,27.6374,30.7314,32.3273,34.7635,37.5939,36.6591,42.3147,42.9645,46.5465,51.3589,54.0492,57.3137,56.8422,57.3144,62.74,66.1624,65.4268,67.1597,70.2739,73.639,72.8962,71.428,69.9916,68.2491,66.911,66.8122,72.3758,76.2888,74.8747,76.2145,78.05,74.4934,75.6724,80.9021,83.3488,82.4853,84.0139,88.1497,92.2139,91.5045,97.1719,,,,,,,,
