model,scenario,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
James,historical,Income,million US$05 MER/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
James,historical,Income,million US$05 PPP/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FAO,historical,Nutrition|Calorie Supply,,,2192.22,2235.9097,2250.4961,2286.1206,2310.2955,2328.3518,2330.1772,2332.3783,2342.0062,2388.6405,2365.839,2353.3501,2390.9706,2383.0578,2398.1565,2389.3635,2417.8435,2476.6936,2476.4064,2489.1063,2502.0812,2533.0562,2576.6073,2584.8083,2585.1333,2585.6051,2602.7805,2617.5956,2627.0686,2610.7451,2589.6412,2599.2975,2603.5724,2627.2402,2653.1885,2665.1049,2681.1809,2697.0384,2713.9742,2727.1841,2726.2495,2728.8998,2737.0037,2750.5301,2765.8302,2782.4051,2810.2183,2827.7061,2830.2333,2858.4184,2875.4342,,,,,,
FAOmassbalance,historical,Nutrition|Calorie Supply,,,,,,,2309.501,,,,,2387.8136,,,,,2396.2377,,,,,2490.2163,,,,,2590.8545,,,,,2622.2314,,,,,2660.7817,,,,,2726.7003,,,,,2760.7238,,,,,2847.4845,,,,,,,
Bodirsky2015,SSP1,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1669.1576,,,,,1684.383,,
Bodirsky2015,SSP1_boundary,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1669.1576,,,,,1684.3764,,
Bodirsky2015,SSP2,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1669.1576,,,,,1684.5911,,
Bodirsky2015,SSP2_boundary,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1669.1576,,,,,1684.3432,,
Bodirsky2015,SSP3,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1683.8856,,,,,1713.809,,
Bodirsky2015,SSP3_boundary,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1683.8856,,,,,1713.2895,,
